sample_id	species_group	species	popcode	population_name	naming_profile
DU-173	unresolved				initial_du_dash
DU-229	unresolved				initial_du_dash
DU-247	unresolved				initial_du_dash
DU-254	unresolved				initial_du_dash
DU-270	unresolved				initial_du_dash
DU-297	unresolved				initial_du_dash
DU-443	unresolved				initial_du_dash
DU-4A	unresolved				initial_du_dash
DU014LP012	unresolved				initial_du_lp
DU037LP013	unresolved				initial_du_lp
DU059LP015	unresolved				initial_du_lp
DU078LP011	unresolved				initial_du_lp
DU079LP010	unresolved				initial_du_lp
ABAB_MAD_LP_223_Du-590	D. abramsii ssp. abramsii	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard
ABAB_MAD_LP_322_Du-593	D. abramsii ssp. abramsii	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard
ABAB_MAD_LP_323_Du-594	D. abramsii ssp. abramsii	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard
ABAB_MAD_LP_324_Du-595	D. abramsii ssp. abramsii	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard
ABAB_MAD_LP_325_Du-596	D. abramsii ssp. abramsii	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard
ABAB_MAD_LP_326_Du-597	D. abramsii ssp. abramsii	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard
ABAB_MAD_LP_327_Du-598	D. abramsii ssp. abramsii	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard
ABBE_BERN_LP_311_Du-780	D. abramsii ssp. bettinae	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	main_standard
ABBE_BERN_LP_312_Du-781	D. abramsii ssp. bettinae	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	main_standard
ABBE_BERN_LP_313_Du-782	D. abramsii ssp. bettinae	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	main_standard
ABBE_BERN_LP_314_Du-783	D. abramsii ssp. bettinae	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	main_standard
ABMU_HOR_LP_306_Du-775	D. abramsii ssp. murina	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard
ABMU_HOR_LP_308_Du-777	D. abramsii ssp. murina	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard
ABMU_HOR_LP_358_Du-770	D. abramsii ssp. murina	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard
ABMU_HOR_LP_359_Du-771	D. abramsii ssp. murina	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard
ABMU_HOR_LP_360_Du-772	D. abramsii ssp. murina	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard
ABMU_HOR_LP_361_Du-773	D. abramsii ssp. murina	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard
BAI_LP_105_Du-222	D. setchellii	D. setchellii	BAI	Baird Ridgeline	main_standard
BAI_LP_106_Du-223	D. setchellii	D. setchellii	BAI	Baird Ridgeline	main_standard
BAI_LP_108_Du-225	D. setchellii	D. setchellii	BAI	Baird Ridgeline	main_standard
BAI_LP_109_Du-226	D. setchellii	D. setchellii	BAI	Baird Ridgeline	main_standard
BAI_LP_110_Du-227	D. setchellii	D. setchellii	BAI	Baird Ridgeline	main_standard
BAI_LP_111_Du-228	D. setchellii	D. setchellii	BAI	Baird Ridgeline	main_standard
